name,url,types,abilities,hp,attack,defense,special-attack,special-defense,speed,is_legendary,generation,hidden_ability,primary_type,weight,height
pidgey,https://pokeapi.co/api/v2/pokemon/16/,"normal, flying","keen-eye, tangled-feet, big-pecks",40,45,40,35,35,56,False,generation-i,big-pecks,normal,18,3
pidgeotto,https://pokeapi.co/api/v2/pokemon/17/,"normal, flying","keen-eye, tangled-feet, big-pecks",63,60,55,50,50,71,False,generation-i,big-pecks,normal,300,11
pidgeot,https://pokeapi.co/api/v2/pokemon/18/,"normal, flying","keen-eye, tangled-feet, big-pecks",83,80,75,70,70,101,False,generation-i,big-pecks,normal,395,15
rattata,https://pokeapi.co/api/v2/pokemon/19/,normal,"run-away, guts, hustle",30,56,35,25,35,72,False,generation-i,hustle,normal,35,3
raticate,https://pokeapi.co/api/v2/pokemon/20/,normal,"run-away, guts, hustle",55,81,60,50,70,97,False,generation-i,hustle,normal,185,7
spearow,https://pokeapi.co/api/v2/pokemon/21/,"normal, flying","keen-eye, sniper",40,60,30,31,31,70,False,generation-i,sniper,normal,20,3
fearow,https://pokeapi.co/api/v2/pokemon/22/,"normal, flying","keen-eye, sniper",65,90,65,61,61,100,False,generation-i,sniper,normal,380,12
ekans,https://pokeapi.co/api/v2/pokemon/23/,poison,"intimidate, shed-skin, unnerve",35,60,44,40,54,55,False,generation-i,unnerve,poison,69,20
arbok,https://pokeapi.co/api/v2/pokemon/24/,poison,"intimidate, shed-skin, unnerve",60,95,69,65,79,80,False,generation-i,unnerve,poison,650,35
pikachu,https://pokeapi.co/api/v2/pokemon/25/,electric,"static, lightning-rod",35,55,40,50,50,90,False,generation-i,lightning-rod,electric,60,4
raichu,https://pokeapi.co/api/v2/pokemon/26/,electric,"static, lightning-rod",60,90,55,90,80,110,False,generation-i,lightning-rod,electric,300,8
sandshrew,https://pokeapi.co/api/v2/pokemon/27/,ground,"sand-veil, sand-rush",50,75,85,20,30,40,False,generation-i,sand-rush,ground,120,6
sandslash,https://pokeapi.co/api/v2/pokemon/28/,ground,"sand-veil, sand-rush",75,100,110,45,55,65,False,generation-i,sand-rush,ground,295,10
nidoran-f,https://pokeapi.co/api/v2/pokemon/29/,poison,"poison-point, rivalry, hustle",55,47,52,40,40,41,False,generation-i,hustle,poison,70,4
nidorina,https://pokeapi.co/api/v2/pokemon/30/,poison,"poison-point, rivalry, hustle",70,62,67,55,55,56,False,generation-i,hustle,poison,200,8
nidoqueen,https://pokeapi.co/api/v2/pokemon/31/,"poison, ground","poison-point, rivalry, sheer-force",90,92,87,75,85,76,False,generation-i,sheer-force,poison,600,13
nidoran-m,https://pokeapi.co/api/v2/pokemon/32/,poison,"poison-point, rivalry, hustle",46,57,40,40,40,50,False,generation-i,hustle,poison,90,5
nidorino,https://pokeapi.co/api/v2/pokemon/33/,poison,"poison-point, rivalry, hustle",61,72,57,55,55,65,False,generation-i,hustle,poison,195,9
nidoking,https://pokeapi.co/api/v2/pokemon/34/,"poison, ground","poison-point, rivalry, sheer-force",81,102,77,85,75,85,False,generation-i,sheer-force,poison,620,14
clefairy,https://pokeapi.co/api/v2/pokemon/35/,fairy,"cute-charm, magic-guard, friend-guard",70,45,48,60,65,35,False,generation-i,friend-guard,fairy,75,6
clefable,https://pokeapi.co/api/v2/pokemon/36/,fairy,"cute-charm, magic-guard, unaware",95,70,73,95,90,60,False,generation-i,unaware,fairy,400,13
vulpix,https://pokeapi.co/api/v2/pokemon/37/,fire,"flash-fire, drought",38,41,40,50,65,65,False,generation-i,drought,fire,99,6
ninetales,https://pokeapi.co/api/v2/pokemon/38/,fire,"flash-fire, drought",73,76,75,81,100,100,False,generation-i,drought,fire,199,11
jigglypuff,https://pokeapi.co/api/v2/pokemon/39/,"normal, fairy","cute-charm, competitive, friend-guard",115,45,20,45,25,20,False,generation-i,friend-guard,normal,55,5
wigglytuff,https://pokeapi.co/api/v2/pokemon/40/,"normal, fairy","cute-charm, competitive, frisk",140,70,45,85,50,45,False,generation-i,frisk,normal,120,10
zubat,https://pokeapi.co/api/v2/pokemon/41/,"poison, flying","inner-focus, infiltrator",40,45,35,30,40,55,False,generation-i,infiltrator,poison,75,8
golbat,https://pokeapi.co/api/v2/pokemon/42/,"poison, flying","inner-focus, infiltrator",75,80,70,65,75,90,False,generation-i,infiltrator,poison,550,16
oddish,https://pokeapi.co/api/v2/pokemon/43/,"grass, poison","chlorophyll, run-away",45,50,55,75,65,30,False,generation-i,run-away,grass,54,5
gloom,https://pokeapi.co/api/v2/pokemon/44/,"grass, poison","chlorophyll, stench",60,65,70,85,75,40,False,generation-i,stench,grass,86,8
vileplume,https://pokeapi.co/api/v2/pokemon/45/,"grass, poison","chlorophyll, effect-spore",75,80,85,110,90,50,False,generation-i,effect-spore,grass,186,12
paras,https://pokeapi.co/api/v2/pokemon/46/,"bug, grass","effect-spore, dry-skin, damp",35,70,55,45,55,25,False,generation-i,damp,bug,54,3
parasect,https://pokeapi.co/api/v2/pokemon/47/,"bug, grass","effect-spore, dry-skin, damp",60,95,80,60,80,30,False,generation-i,damp,bug,295,10
venonat,https://pokeapi.co/api/v2/pokemon/48/,"bug, poison","compound-eyes, tinted-lens, run-away",60,55,50,40,55,45,False,generation-i,run-away,bug,300,10
venomoth,https://pokeapi.co/api/v2/pokemon/49/,"bug, poison","shield-dust, tinted-lens, wonder-skin",70,65,60,90,75,90,False,generation-i,wonder-skin,bug,125,15
diglett,https://pokeapi.co/api/v2/pokemon/50/,ground,"sand-veil, arena-trap, sand-force",10,55,25,35,45,95,False,generation-i,sand-force,ground,8,2
dugtrio,https://pokeapi.co/api/v2/pokemon/51/,ground,"sand-veil, arena-trap, sand-force",35,100,50,50,70,120,False,generation-i,sand-force,ground,333,7
meowth,https://pokeapi.co/api/v2/pokemon/52/,normal,"pickup, technician, unnerve",40,45,35,40,40,90,False,generation-i,unnerve,normal,42,4
persian,https://pokeapi.co/api/v2/pokemon/53/,normal,"limber, technician, unnerve",65,70,60,65,65,115,False,generation-i,unnerve,normal,320,10
psyduck,https://pokeapi.co/api/v2/pokemon/54/,water,"damp, cloud-nine, swift-swim",50,52,48,65,50,55,False,generation-i,swift-swim,water,196,8
golduck,https://pokeapi.co/api/v2/pokemon/55/,water,"damp, cloud-nine, swift-swim",80,82,78,95,80,85,False,generation-i,swift-swim,water,766,17
mankey,https://pokeapi.co/api/v2/pokemon/56/,fighting,"vital-spirit, anger-point, defiant",40,80,35,35,45,70,False,generation-i,defiant,fighting,280,5
primeape,https://pokeapi.co/api/v2/pokemon/57/,fighting,"vital-spirit, anger-point, defiant",65,105,60,60,70,95,False,generation-i,defiant,fighting,320,10
growlithe,https://pokeapi.co/api/v2/pokemon/58/,fire,"intimidate, flash-fire, justified",55,70,45,70,50,60,False,generation-i,justified,fire,190,7
arcanine,https://pokeapi.co/api/v2/pokemon/59/,fire,"intimidate, flash-fire, justified",90,110,80,100,80,95,False,generation-i,justified,fire,1550,19
poliwag,https://pokeapi.co/api/v2/pokemon/60/,water,"water-absorb, damp, swift-swim",40,50,40,40,40,90,False,generation-i,swift-swim,water,124,6
poliwhirl,https://pokeapi.co/api/v2/pokemon/61/,water,"water-absorb, damp, swift-swim",65,65,65,50,50,90,False,generation-i,swift-swim,water,200,10
poliwrath,https://pokeapi.co/api/v2/pokemon/62/,"water, fighting","water-absorb, damp, swift-swim",90,95,95,70,90,70,False,generation-i,swift-swim,water,540,13
abra,https://pokeapi.co/api/v2/pokemon/63/,psychic,"synchronize, inner-focus, magic-guard",25,20,15,105,55,90,False,generation-i,magic-guard,psychic,195,9
kadabra,https://pokeapi.co/api/v2/pokemon/64/,psychic,"synchronize, inner-focus, magic-guard",40,35,30,120,70,105,False,generation-i,magic-guard,psychic,565,13
alakazam,https://pokeapi.co/api/v2/pokemon/65/,psychic,"synchronize, inner-focus, magic-guard",55,50,45,135,95,120,False,generation-i,magic-guard,psychic,480,15
machop,https://pokeapi.co/api/v2/pokemon/66/,fighting,"guts, no-guard, steadfast",70,80,50,35,35,35,False,generation-i,steadfast,fighting,195,8
machoke,https://pokeapi.co/api/v2/pokemon/67/,fighting,"guts, no-guard, steadfast",80,100,70,50,60,45,False,generation-i,steadfast,fighting,705,15
machamp,https://pokeapi.co/api/v2/pokemon/68/,fighting,"guts, no-guard, steadfast",90,130,80,65,85,55,False,generation-i,steadfast,fighting,1300,16
bellsprout,https://pokeapi.co/api/v2/pokemon/69/,"grass, poison","chlorophyll, gluttony",50,75,35,70,30,40,False,generation-i,gluttony,grass,40,7
weepinbell,https://pokeapi.co/api/v2/pokemon/70/,"grass, poison","chlorophyll, gluttony",65,90,50,85,45,55,False,generation-i,gluttony,grass,64,10
victreebel,https://pokeapi.co/api/v2/pokemon/71/,"grass, poison","chlorophyll, gluttony",80,105,65,100,70,70,False,generation-i,gluttony,grass,155,17
tentacool,https://pokeapi.co/api/v2/pokemon/72/,"water, poison","clear-body, liquid-ooze, rain-dish",40,40,35,50,100,70,False,generation-i,rain-dish,water,455,9
tentacruel,https://pokeapi.co/api/v2/pokemon/73/,"water, poison","clear-body, liquid-ooze, rain-dish",80,70,65,80,120,100,False,generation-i,rain-dish,water,550,16
geodude,https://pokeapi.co/api/v2/pokemon/74/,"rock, ground","rock-head, sturdy, sand-veil",40,80,100,30,30,20,False,generation-i,sand-veil,rock,200,4
graveler,https://pokeapi.co/api/v2/pokemon/75/,"rock, ground","rock-head, sturdy, sand-veil",55,95,115,45,45,35,False,generation-i,sand-veil,rock,1050,10
golem,https://pokeapi.co/api/v2/pokemon/76/,"rock, ground","rock-head, sturdy, sand-veil",80,120,130,55,65,45,False,generation-i,sand-veil,rock,3000,14
ponyta,https://pokeapi.co/api/v2/pokemon/77/,fire,"run-away, flash-fire, flame-body",50,85,55,65,65,90,False,generation-i,flame-body,fire,300,10
rapidash,https://pokeapi.co/api/v2/pokemon/78/,fire,"run-away, flash-fire, flame-body",65,100,70,80,80,105,False,generation-i,flame-body,fire,950,17
slowpoke,https://pokeapi.co/api/v2/pokemon/79/,"water, psychic","oblivious, own-tempo, regenerator",90,65,65,40,40,15,False,generation-i,regenerator,water,360,12
slowbro,https://pokeapi.co/api/v2/pokemon/80/,"water, psychic","oblivious, own-tempo, regenerator",95,75,110,100,80,30,False,generation-i,regenerator,water,785,16
magnemite,https://pokeapi.co/api/v2/pokemon/81/,"electric, steel","magnet-pull, sturdy, analytic",25,35,70,95,55,45,False,generation-i,analytic,electric,60,3
magneton,https://pokeapi.co/api/v2/pokemon/82/,"electric, steel","magnet-pull, sturdy, analytic",50,60,95,120,70,70,False,generation-i,analytic,electric,600,10
farfetchd,https://pokeapi.co/api/v2/pokemon/83/,"normal, flying","keen-eye, inner-focus, defiant",52,90,55,58,62,60,False,generation-i,defiant,normal,150,8
doduo,https://pokeapi.co/api/v2/pokemon/84/,"normal, flying","run-away, early-bird, tangled-feet",35,85,45,35,35,75,False,generation-i,tangled-feet,normal,392,14
dodrio,https://pokeapi.co/api/v2/pokemon/85/,"normal, flying","run-away, early-bird, tangled-feet",60,110,70,60,60,110,False,generation-i,tangled-feet,normal,852,18
seel,https://pokeapi.co/api/v2/pokemon/86/,water,"thick-fat, hydration, ice-body",65,45,55,45,70,45,False,generation-i,ice-body,water,900,11
dewgong,https://pokeapi.co/api/v2/pokemon/87/,"water, ice","thick-fat, hydration, ice-body",90,70,80,70,95,70,False,generation-i,ice-body,water,1200,17
grimer,https://pokeapi.co/api/v2/pokemon/88/,poison,"stench, sticky-hold, poison-touch",80,80,50,40,50,25,False,generation-i,poison-touch,poison,300,9
muk,https://pokeapi.co/api/v2/pokemon/89/,poison,"stench, sticky-hold, poison-touch",105,105,75,65,100,50,False,generation-i,poison-touch,poison,300,12
shellder,https://pokeapi.co/api/v2/pokemon/90/,water,"shell-armor, skill-link, overcoat",30,65,100,45,25,40,False,generation-i,overcoat,water,40,3
cloyster,https://pokeapi.co/api/v2/pokemon/91/,"water, ice","shell-armor, skill-link, overcoat",50,95,180,85,45,70,False,generation-i,overcoat,water,1325,15
gastly,https://pokeapi.co/api/v2/pokemon/92/,"ghost, poison",levitate,30,35,30,100,35,80,False,generation-i,,ghost,1,13
haunter,https://pokeapi.co/api/v2/pokemon/93/,"ghost, poison",levitate,45,50,45,115,55,95,False,generation-i,,ghost,1,16
gengar,https://pokeapi.co/api/v2/pokemon/94/,"ghost, poison",cursed-body,60,65,60,130,75,110,False,generation-i,,ghost,405,15
onix,https://pokeapi.co/api/v2/pokemon/95/,"rock, ground","rock-head, sturdy, weak-armor",35,45,160,30,45,70,False,generation-i,weak-armor,rock,2100,88
drowzee,https://pokeapi.co/api/v2/pokemon/96/,psychic,"insomnia, forewarn, inner-focus",60,48,45,43,90,42,False,generation-i,inner-focus,psychic,324,10
hypno,https://pokeapi.co/api/v2/pokemon/97/,psychic,"insomnia, forewarn, inner-focus",85,73,70,73,115,67,False,generation-i,inner-focus,psychic,756,16
krabby,https://pokeapi.co/api/v2/pokemon/98/,water,"hyper-cutter, shell-armor, sheer-force",30,105,90,25,25,50,False,generation-i,sheer-force,water,65,4
kingler,https://pokeapi.co/api/v2/pokemon/99/,water,"hyper-cutter, shell-armor, sheer-force",55,130,115,50,50,75,False,generation-i,sheer-force,water,600,13
voltorb,https://pokeapi.co/api/v2/pokemon/100/,electric,"soundproof, static, aftermath",40,30,50,55,55,100,False,generation-i,aftermath,electric,104,5
electrode,https://pokeapi.co/api/v2/pokemon/101/,electric,"soundproof, static, aftermath",60,50,70,80,80,150,False,generation-i,aftermath,electric,666,12
exeggcute,https://pokeapi.co/api/v2/pokemon/102/,"grass, psychic","chlorophyll, harvest",60,40,80,60,45,40,False,generation-i,harvest,grass,25,4
exeggutor,https://pokeapi.co/api/v2/pokemon/103/,"grass, psychic","chlorophyll, harvest",95,95,85,125,75,55,False,generation-i,harvest,grass,1200,20
cubone,https://pokeapi.co/api/v2/pokemon/104/,ground,"rock-head, lightning-rod, battle-armor",50,50,95,40,50,35,False,generation-i,battle-armor,ground,65,4
marowak,https://pokeapi.co/api/v2/pokemon/105/,ground,"rock-head, lightning-rod, battle-armor",60,80,110,50,80,45,False,generation-i,battle-armor,ground,450,10
hitmonlee,https://pokeapi.co/api/v2/pokemon/106/,fighting,"limber, reckless, unburden",50,120,53,35,110,87,False,generation-i,unburden,fighting,498,15
hitmonchan,https://pokeapi.co/api/v2/pokemon/107/,fighting,"keen-eye, iron-fist, inner-focus",50,105,79,35,110,76,False,generation-i,inner-focus,fighting,502,14
lickitung,https://pokeapi.co/api/v2/pokemon/108/,normal,"own-tempo, oblivious, cloud-nine",90,55,75,60,75,30,False,generation-i,cloud-nine,normal,655,12
koffing,https://pokeapi.co/api/v2/pokemon/109/,poison,"levitate, neutralizing-gas, stench",40,65,95,60,45,35,False,generation-i,stench,poison,10,6
weezing,https://pokeapi.co/api/v2/pokemon/110/,poison,"levitate, neutralizing-gas, stench",65,90,120,85,70,60,False,generation-i,stench,poison,95,12
rhyhorn,https://pokeapi.co/api/v2/pokemon/111/,"ground, rock","lightning-rod, rock-head, reckless",80,85,95,30,30,25,False,generation-i,reckless,ground,1150,10
rhydon,https://pokeapi.co/api/v2/pokemon/112/,"ground, rock","lightning-rod, rock-head, reckless",105,130,120,45,45,40,False,generation-i,reckless,ground,1200,19
chansey,https://pokeapi.co/api/v2/pokemon/113/,normal,"natural-cure, serene-grace, healer",250,5,5,35,105,50,False,generation-i,healer,normal,346,11
tangela,https://pokeapi.co/api/v2/pokemon/114/,grass,"chlorophyll, leaf-guard, regenerator",65,55,115,100,40,60,False,generation-i,regenerator,grass,350,10
kangaskhan,https://pokeapi.co/api/v2/pokemon/115/,normal,"early-bird, scrappy, inner-focus",105,95,80,40,80,90,False,generation-i,inner-focus,normal,800,22
horsea,https://pokeapi.co/api/v2/pokemon/116/,water,"swift-swim, sniper, damp",30,40,70,70,25,60,False,generation-i,damp,water,80,4
seadra,https://pokeapi.co/api/v2/pokemon/117/,water,"poison-point, sniper, damp",55,65,95,95,45,85,False,generation-i,damp,water,250,12
goldeen,https://pokeapi.co/api/v2/pokemon/118/,water,"swift-swim, water-veil, lightning-rod",45,67,60,35,50,63,False,generation-i,lightning-rod,water,150,6
seaking,https://pokeapi.co/api/v2/pokemon/119/,water,"swift-swim, water-veil, lightning-rod",80,92,65,65,80,68,False,generation-i,lightning-rod,water,390,13
staryu,https://pokeapi.co/api/v2/pokemon/120/,water,"illuminate, natural-cure, analytic",30,45,55,70,55,85,False,generation-i,analytic,water,345,8
starmie,https://pokeapi.co/api/v2/pokemon/121/,"water, psychic","illuminate, natural-cure, analytic",60,75,85,100,85,115,False,generation-i,analytic,water,800,11
mr-mime,https://pokeapi.co/api/v2/pokemon/122/,"psychic, fairy","soundproof, filter, technician",40,45,65,100,120,90,False,generation-i,technician,psychic,545,13
scyther,https://pokeapi.co/api/v2/pokemon/123/,"bug, flying","swarm, technician, steadfast",70,110,80,55,80,105,False,generation-i,steadfast,bug,560,15
jynx,https://pokeapi.co/api/v2/pokemon/124/,"ice, psychic","oblivious, forewarn, dry-skin",65,50,35,115,95,95,False,generation-i,dry-skin,ice,406,14
electabuzz,https://pokeapi.co/api/v2/pokemon/125/,electric,"static, vital-spirit",65,83,57,95,85,105,False,generation-i,vital-spirit,electric,300,11
magmar,https://pokeapi.co/api/v2/pokemon/126/,fire,"flame-body, vital-spirit",65,95,57,100,85,93,False,generation-i,vital-spirit,fire,445,13
pinsir,https://pokeapi.co/api/v2/pokemon/127/,bug,"hyper-cutter, mold-breaker, moxie",65,125,100,55,70,85,False,generation-i,moxie,bug,550,15
tauros,https://pokeapi.co/api/v2/pokemon/128/,normal,"intimidate, anger-point, sheer-force",75,100,95,40,70,110,False,generation-i,sheer-force,normal,884,14
magikarp,https://pokeapi.co/api/v2/pokemon/129/,water,"swift-swim, rattled",20,10,55,15,20,80,False,generation-i,rattled,water,100,9
gyarados,https://pokeapi.co/api/v2/pokemon/130/,"water, flying","intimidate, moxie",95,125,79,60,100,81,False,generation-i,moxie,water,2350,65
lapras,https://pokeapi.co/api/v2/pokemon/131/,"water, ice","water-absorb, shell-armor, hydration",130,85,80,85,95,60,False,generation-i,hydration,water,2200,25
ditto,https://pokeapi.co/api/v2/pokemon/132/,normal,"limber, imposter",48,48,48,48,48,48,False,generation-i,imposter,normal,40,3
eevee,https://pokeapi.co/api/v2/pokemon/133/,normal,"run-away, adaptability, anticipation",55,55,50,45,65,55,False,generation-i,anticipation,normal,65,3
vaporeon,https://pokeapi.co/api/v2/pokemon/134/,water,"water-absorb, hydration",130,65,60,110,95,65,False,generation-i,hydration,water,290,10
jolteon,https://pokeapi.co/api/v2/pokemon/135/,electric,"volt-absorb, quick-feet",65,65,60,110,95,130,False,generation-i,quick-feet,electric,245,8
flareon,https://pokeapi.co/api/v2/pokemon/136/,fire,"flash-fire, guts",65,130,60,95,110,65,False,generation-i,guts,fire,250,9
porygon,https://pokeapi.co/api/v2/pokemon/137/,normal,"trace, download, analytic",65,60,70,85,75,40,False,generation-i,analytic,normal,365,8
omanyte,https://pokeapi.co/api/v2/pokemon/138/,"rock, water","swift-swim, shell-armor, weak-armor",35,40,100,90,55,35,False,generation-i,weak-armor,rock,75,4
omastar,https://pokeapi.co/api/v2/pokemon/139/,"rock, water","swift-swim, shell-armor, weak-armor",70,60,125,115,70,55,False,generation-i,weak-armor,rock,350,10
kabuto,https://pokeapi.co/api/v2/pokemon/140/,"rock, water","swift-swim, battle-armor, weak-armor",30,80,90,55,45,55,False,generation-i,weak-armor,rock,115,5
kabutops,https://pokeapi.co/api/v2/pokemon/141/,"rock, water","swift-swim, battle-armor, weak-armor",60,115,105,65,70,80,False,generation-i,weak-armor,rock,405,13
aerodactyl,https://pokeapi.co/api/v2/pokemon/142/,"rock, flying","rock-head, pressure, unnerve",80,105,65,60,75,130,False,generation-i,unnerve,rock,590,18
snorlax,https://pokeapi.co/api/v2/pokemon/143/,normal,"immunity, thick-fat, gluttony",160,110,65,65,110,30,False,generation-i,gluttony,normal,4600,21
articuno,https://pokeapi.co/api/v2/pokemon/144/,"ice, flying","pressure, snow-cloak",90,85,100,95,125,85,True,generation-i,snow-cloak,ice,554,17
zapdos,https://pokeapi.co/api/v2/pokemon/145/,"electric, flying","pressure, static",90,90,85,125,90,100,True,generation-i,static,electric,526,16
moltres,https://pokeapi.co/api/v2/pokemon/146/,"fire, flying","pressure, flame-body",90,100,90,125,85,90,True,generation-i,flame-body,fire,600,20
dratini,https://pokeapi.co/api/v2/pokemon/147/,dragon,"shed-skin, marvel-scale",41,64,45,50,50,50,False,generation-i,marvel-scale,dragon,33,18
dragonair,https://pokeapi.co/api/v2/pokemon/148/,dragon,"shed-skin, marvel-scale",61,84,65,70,70,70,False,generation-i,marvel-scale,dragon,165,40
dragonite,https://pokeapi.co/api/v2/pokemon/149/,"dragon, flying","inner-focus, multiscale",91,134,95,100,100,80,False,generation-i,multiscale,dragon,2100,22
mewtwo,https://pokeapi.co/api/v2/pokemon/150/,psychic,"pressure, unnerve",106,110,90,154,90,130,True,generation-i,unnerve,psychic,1220,20
mew,https://pokeapi.co/api/v2/pokemon/151/,psychic,synchronize,100,100,100,100,100,100,False,generation-i,,psychic,40,4
chikorita,https://pokeapi.co/api/v2/pokemon/152/,grass,"overgrow, leaf-guard",45,49,65,49,65,45,False,generation-ii,leaf-guard,grass,64,9
bayleef,https://pokeapi.co/api/v2/pokemon/153/,grass,"overgrow, leaf-guard",60,62,80,63,80,60,False,generation-ii,leaf-guard,grass,158,12
meganium,https://pokeapi.co/api/v2/pokemon/154/,grass,"overgrow, leaf-guard",80,82,100,83,100,80,False,generation-ii,leaf-guard,grass,1005,18
cyndaquil,https://pokeapi.co/api/v2/pokemon/155/,fire,"blaze, flash-fire",39,52,43,60,50,65,False,generation-ii,flash-fire,fire,79,5
quilava,https://pokeapi.co/api/v2/pokemon/156/,fire,"blaze, flash-fire",58,64,58,80,65,80,False,generation-ii,flash-fire,fire,190,9
typhlosion,https://pokeapi.co/api/v2/pokemon/157/,fire,"blaze, flash-fire",78,84,78,109,85,100,False,generation-ii,flash-fire,fire,795,17
totodile,https://pokeapi.co/api/v2/pokemon/158/,water,"torrent, sheer-force",50,65,64,44,48,43,False,generation-ii,sheer-force,water,95,6
croconaw,https://pokeapi.co/api/v2/pokemon/159/,water,"torrent, sheer-force",65,80,80,59,63,58,False,generation-ii,sheer-force,water,250,11
feraligatr,https://pokeapi.co/api/v2/pokemon/160/,water,"torrent, sheer-force",85,105,100,79,83,78,False,generation-ii,sheer-force,water,888,23
sentret,https://pokeapi.co/api/v2/pokemon/161/,normal,"run-away, keen-eye, frisk",35,46,34,35,45,20,False,generation-ii,frisk,normal,60,8
furret,https://pokeapi.co/api/v2/pokemon/162/,normal,"run-away, keen-eye, frisk",85,76,64,45,55,90,False,generation-ii,frisk,normal,325,18
hoothoot,https://pokeapi.co/api/v2/pokemon/163/,"normal, flying","insomnia, keen-eye, tinted-lens",60,30,30,36,56,50,False,generation-ii,tinted-lens,normal,212,7
noctowl,https://pokeapi.co/api/v2/pokemon/164/,"normal, flying","insomnia, keen-eye, tinted-lens",100,50,50,86,96,70,False,generation-ii,tinted-lens,normal,408,16
ledyba,https://pokeapi.co/api/v2/pokemon/165/,"bug, flying","swarm, early-bird, rattled",40,20,30,40,80,55,False,generation-ii,rattled,bug,108,10
ledian,https://pokeapi.co/api/v2/pokemon/166/,"bug, flying","swarm, early-bird, iron-fist",55,35,50,55,110,85,False,generation-ii,iron-fist,bug,356,14
spinarak,https://pokeapi.co/api/v2/pokemon/167/,"bug, poison","swarm, insomnia, sniper",40,60,40,40,40,30,False,generation-ii,sniper,bug,85,5
ariados,https://pokeapi.co/api/v2/pokemon/168/,"bug, poison","swarm, insomnia, sniper",70,90,70,60,70,40,False,generation-ii,sniper,bug,335,11
crobat,https://pokeapi.co/api/v2/pokemon/169/,"poison, flying","inner-focus, infiltrator",85,90,80,70,80,130,False,generation-ii,infiltrator,poison,750,18
chinchou,https://pokeapi.co/api/v2/pokemon/170/,"water, electric","volt-absorb, illuminate, water-absorb",75,38,38,56,56,67,False,generation-ii,water-absorb,water,120,5
lanturn,https://pokeapi.co/api/v2/pokemon/171/,"water, electric","volt-absorb, illuminate, water-absorb",125,58,58,76,76,67,False,generation-ii,water-absorb,water,225,12
pichu,https://pokeapi.co/api/v2/pokemon/172/,electric,"static, lightning-rod",20,40,15,35,35,60,False,generation-ii,lightning-rod,electric,20,3
cleffa,https://pokeapi.co/api/v2/pokemon/173/,fairy,"cute-charm, magic-guard, friend-guard",50,25,28,45,55,15,False,generation-ii,friend-guard,fairy,30,3
igglybuff,https://pokeapi.co/api/v2/pokemon/174/,"normal, fairy","cute-charm, competitive, friend-guard",90,30,15,40,20,15,False,generation-ii,friend-guard,normal,10,3
togepi,https://pokeapi.co/api/v2/pokemon/175/,fairy,"hustle, serene-grace, super-luck",35,20,65,40,65,20,False,generation-ii,super-luck,fairy,15,3
togetic,https://pokeapi.co/api/v2/pokemon/176/,"fairy, flying","hustle, serene-grace, super-luck",55,40,85,80,105,40,False,generation-ii,super-luck,fairy,32,6
natu,https://pokeapi.co/api/v2/pokemon/177/,"psychic, flying","synchronize, early-bird, magic-bounce",40,50,45,70,45,70,False,generation-ii,magic-bounce,psychic,20,2
