mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.6,"40 km W of Mentone, Texas",1699569560475,1699644418657,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vztw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vztw&format=geojson,,,,,reviewed,0,39,tx,2023vztw,",tx2023vztw,",",tx,",",origin,phase-data,",18.0,0.0,0.1,50.0,ml(texnet),earthquake,"M 1.6 - 40 km W of Mentone, Texas"
2.1,,1699569189887,1699569293556,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023ee0i99o,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023ee0i99o&format=geojson,,,,,automatic,0,68,ak,023ee0i99o,",ak023ee0i99o,",",ak,",",origin,phase-data,",,,0.31,,ml,earthquake,M 2.1 - 
0.41,"2 km W of Anderson Springs, CA",1699568450020,1699615031483,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960656,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960656&format=geojson,,,,,reviewed,0,3,nc,73960656,",nc73960656,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.01048,0.01,166.0,md,earthquake,"M 0.4 - 2 km W of Anderson Springs, CA"
1.8,"39 km W of Mentone, Texas",1699568309752,1699569507894,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vztd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vztd&format=geojson,,,,,automatic,0,50,tx,2023vztd,",tx2023vztd,",",tx,",",origin,phase-data,",16.0,0.0,0.2,44.0,ml(texnet),earthquake,"M 1.8 - 39 km W of Mentone, Texas"
1.2,"37 km SE of Mina, Nevada",1699568059977,1699571832237,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00868687,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00868687&format=geojson,,,,,reviewed,0,22,nn,00868687,",nn00868687,",",nn,",",origin,phase-data,",8.0,0.125,0.0996,85.84,ml,earthquake,"M 1.2 - 37 km SE of Mina, Nevada"
2.1,"7 km SE of Ferry, Alaska",1699567610928,1699567736287,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023ee0ck3o,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023ee0ck3o&format=geojson,,,,,automatic,0,68,ak,023ee0ck3o,",ak023ee0ck3o,",",ak,",",origin,phase-data,",,,0.55,,ml,earthquake,"M 2.1 - 7 km SE of Ferry, Alaska"
0.63,"23 km ENE of Ashford, Washington",1699567583590,1699680118930,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61971541,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61971541&format=geojson,,,,,reviewed,0,6,uw,61971541,",uw61971541,",",uw,",",origin,phase-data,",20.0,0.02364,0.08,75.0,ml,earthquake,"M 0.6 - 23 km ENE of Ashford, Washington"
1.83000004,,1699567470530,1699567656030,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73642472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73642472&format=geojson,,,,,automatic,0,52,hv,73642472,",hv73642472,",",hv,",",origin,phase-data,",31.0,,0.129999995,69.0,md,earthquake,M 1.8 - 
0.28,"3 km NNW of The Geysers, CA",1699567342400,1699567930888,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960646,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960646&format=geojson,,,,,automatic,0,1,nc,73960646,",nc73960646,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.01082,0.02,127.0,md,earthquake,"M 0.3 - 3 km NNW of The Geysers, CA"
2.2,"58 km NNE of Petersville, Alaska",1699566744122,1699566896335,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023ee00xd8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023ee00xd8&format=geojson,,,,,automatic,0,74,ak,023ee00xd8,",ak023ee00xd8,",",ak,",",origin,phase-data,",,,0.38,,ml,earthquake,"M 2.2 - 58 km NNE of Petersville, Alaska"
1.11,"5 km N of Lake Elsinore, CA",1699566476600,1699577079888,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39710962,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39710962&format=geojson,,,,,reviewed,0,19,ci,39710962,",ci39710962,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.05968,0.2,70.0,ml,quarry blast,"M 1.1 Quarry Blast - 5 km N of Lake Elsinore, CA"
0.81,"7 km SW of Garnet, CA",1699566399270,1699576763391,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39710954,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39710954&format=geojson,,,,,reviewed,0,10,ci,39710954,",ci39710954,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.07547,0.09,52.0,ml,earthquake,"M 0.8 - 7 km SW of Garnet, CA"
0.7,"8 km NW of The Geysers, CA",1699565995820,1699566790902,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960631&format=geojson,,,,,automatic,0,8,nc,73960631,",nc73960631,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.008037,0.01,79.0,md,earthquake,"M 0.7 - 8 km NW of The Geysers, CA"
2.13,"13 km N of New Idria, CA",1699565876490,1699575310696,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960621,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960621&format=geojson,,,,,automatic,0,70,nc,73960621,",nc73960621,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.1888,0.1,197.0,md,earthquake,"M 2.1 - 13 km N of New Idria, CA"
4.4,"287 km NE of Lospalos, Timor Leste",1699565188230,1699571187040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000l9y3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000l9y3&format=geojson,,,,,reviewed,0,298,us,7000l9y3,",us7000l9y3,",",us,",",origin,phase-data,",20.0,9.369,0.69,85.0,mb,earthquake,"M 4.4 - 287 km NE of Lospalos, Timor Leste"
0.33,"76 km WNW of Karluk, Alaska",1699564847450,1699642532840,,https://earthquake.usgs.gov/earthquakes/eventpage/av92112821,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92112821&format=geojson,,,,,reviewed,0,2,av,92112821,",av92112821,",",av,",",origin,phase-data,",6.0,,0.12,290.0,ml,earthquake,"M 0.3 - 76 km WNW of Karluk, Alaska"
0.59,"2 km NNW of The Geysers, CA",1699564587380,1699565351792,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960611,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960611&format=geojson,,,,,automatic,0,5,nc,73960611,",nc73960611,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.008364,0.01,108.0,md,earthquake,"M 0.6 - 2 km NNW of The Geysers, CA"
0.39,"17 km ESE of Anza, CA",1699564563690,1699566556371,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39710930,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39710930&format=geojson,,,,,reviewed,0,2,ci,39710930,",ci39710930,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.06884,0.13,133.0,ml,earthquake,"M 0.4 - 17 km ESE of Anza, CA"
5.4,"28 km SSE of Madang, Papua New Guinea",1699563226445,1699649836793,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000l9xx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000l9xx&format=geojson,6.0,4.6,4.193,green,reviewed,0,451,us,7000l9xx,",us7000l9xx,usauto7000l9xx,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",106.0,5.961,0.8,25.0,mww,earthquake,"M 5.4 - 28 km SSE of Madang, Papua New Guinea"
1.6,"37 km WSW of Mentone, Texas",1699562509529,1699565143975,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vzpy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vzpy&format=geojson,,,,,automatic,0,39,tx,2023vzpy,",tx2023vzpy,",",tx,",",origin,phase-data,",13.0,0.0,0.2,87.0,ml(texnet),earthquake,"M 1.6 - 37 km WSW of Mentone, Texas"
-0.17,"24 km W of Dutch Harbor, Alaska",1699561991310,1699642338520,,https://earthquake.usgs.gov/earthquakes/eventpage/av91121178,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91121178&format=geojson,,,,,reviewed,0,0,av,91121178,",av91121178,",",av,",",origin,phase-data,",6.0,,0.08,207.0,ml,earthquake,"M -0.2 - 24 km W of Dutch Harbor, Alaska"
1.35,"8 km E of Avon, Utah",1699561545290,1699564510000,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60553952,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60553952&format=geojson,,,,,reviewed,0,28,uu,60553952,",uu60553952,",",uu,",",origin,phase-data,",19.0,0.06793,0.12,72.0,md,earthquake,"M 1.4 - 8 km E of Avon, Utah"
1.38,"9 km E of Avon, Utah",1699561428980,1699565346420,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60033959,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60033959&format=geojson,,,,,reviewed,0,29,uu,60033959,",uu60033959,",",uu,",",origin,phase-data,",8.0,0.06877,0.11,99.0,md,earthquake,"M 1.4 - 9 km E of Avon, Utah"
1.41,"9 km E of Avon, Utah",1699561424520,1699565502970,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60553947,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60553947&format=geojson,,,,,reviewed,0,31,uu,60553947,",uu60553947,",",uu,",",origin,phase-data,",13.0,0.07262,0.08,75.0,md,earthquake,"M 1.4 - 9 km E of Avon, Utah"
1.6,"38 km WSW of Mentone, Texas",1699561240496,1699563059607,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vzpf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vzpf&format=geojson,,,,,automatic,0,39,tx,2023vzpf,",tx2023vzpf,",",tx,",",origin,phase-data,",10.0,0.0,0.8,131.0,mlv,earthquake,"M 1.6 - 38 km WSW of Mentone, Texas"
2.36,"9 km ENE of Pāhala, Hawaii",1699560999700,1699561329470,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73642432,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73642432&format=geojson,,,,,automatic,0,86,hv,73642432,",hv73642432,",",hv,",",origin,phase-data,",43.0,,0.140000001,137.0,ml,earthquake,"M 2.4 - 9 km ENE of Pāhala, Hawaii"
1.5,"39 km W of Mentone, Texas",1699560692772,1699651962194,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vzox,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vzox&format=geojson,,,,,reviewed,0,35,tx,2023vzox,",tx2023vzox,",",tx,",",origin,phase-data,",19.0,0.0,0.1,63.0,ml(texnet),earthquake,"M 1.5 - 39 km W of Mentone, Texas"
1.2,"7 km S of Mojave, CA",1699560104880,1699561548496,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39710882,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39710882&format=geojson,,,,,reviewed,0,22,ci,39710882,",ci39710882,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.1193,0.26,63.0,ml,quarry blast,"M 1.2 Quarry Blast - 7 km S of Mojave, CA"
1.3,"8 km WNW of Cobb, CA",1699559966550,1699570513113,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960586,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960586&format=geojson,,,,,automatic,0,26,nc,73960586,",nc73960586,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.01232,0.02,76.0,md,earthquake,"M 1.3 - 8 km WNW of Cobb, CA"
3.6,,1699559820680,1699605232044,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023edyv2w6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023edyv2w6&format=geojson,2.0,2.7,2.413,,reviewed,0,200,ak,023edyv2w6,",ak023edyv2w6,us7000l9xk,",",ak,us,",",dyfi,origin,phase-data,shakemap,",,,0.61,,ml,earthquake,M 3.6 - 
0.9,"28 km ENE of Herlong, California",1699559577923,1699578189654,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00868712,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00868712&format=geojson,,,,,reviewed,0,12,nn,00868712,",nn00868712,",",nn,",",origin,phase-data,",3.0,0.109,0.1499,270.7,ml,earthquake,"M 0.9 - 28 km ENE of Herlong, California"
1.17,"13 km SE of Tehachapi, CA",1699559475640,1699561274391,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39710874,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39710874&format=geojson,,,,,reviewed,0,21,ci,39710874,",ci39710874,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.06974,0.17,68.0,ml,quarry blast,"M 1.2 Quarry Blast - 13 km SE of Tehachapi, CA"
0.81,"20 km ESE of Anza, CA",1699558548940,1699561030054,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39710866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39710866&format=geojson,,,,,reviewed,0,10,ci,39710866,",ci39710866,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.0572,0.15,98.0,ml,earthquake,"M 0.8 - 20 km ESE of Anza, CA"
0.78,"4 km W of Cobb, CA",1699558218350,1699559772178,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960576,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960576&format=geojson,,,,,automatic,0,9,nc,73960576,",nc73960576,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.006795,0.0,117.0,md,earthquake,"M 0.8 - 4 km W of Cobb, CA"
1.76999998,"Island of Hawaii, Hawaii",1699557831380,1699558028810,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73642407,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73642407&format=geojson,,,,,automatic,0,48,hv,73642407,",hv73642407,",",hv,",",origin,phase-data,",32.0,,0.119999997,179.0,md,earthquake,"M 1.8 - Island of Hawaii, Hawaii"
0.79,"7 km E of Hebgen Lake Estates, Montana",1699557811990,1699560198270,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60553932,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60553932&format=geojson,,,,,reviewed,0,10,uu,60553932,",uu60553932,",",uu,",",origin,phase-data,",12.0,0.0269,0.16,92.0,md,earthquake,"M 0.8 - 7 km E of Hebgen Lake Estates, Montana"
1.44,"13 km NNW of New Idria, CA",1699556033810,1699626550619,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960571,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960571&format=geojson,,,,,reviewed,0,32,nc,73960571,",nc73960571,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.1227,0.16,196.0,md,earthquake,"M 1.4 - 13 km NNW of New Idria, CA"
0.8,"8 km WNW of Cobb, CA",1699555878360,1699556832869,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960566,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960566&format=geojson,,,,,automatic,0,10,nc,73960566,",nc73960566,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.01464,0.01,59.0,md,earthquake,"M 0.8 - 8 km WNW of Cobb, CA"
0.9,"8 km NW of The Geysers, CA",1699554787950,1699555751758,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960561,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960561&format=geojson,,,,,automatic,0,12,nc,73960561,",nc73960561,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.01037,0.02,58.0,md,earthquake,"M 0.9 - 8 km NW of The Geysers, CA"
0.2,"83 km NNW of Karluk, Alaska",1699554345020,1699641278330,,https://earthquake.usgs.gov/earthquakes/eventpage/av91121163,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91121163&format=geojson,,,,,reviewed,0,1,av,91121163,",av91121163,",",av,",",origin,phase-data,",7.0,,0.1,146.0,ml,earthquake,"M 0.2 - 83 km NNW of Karluk, Alaska"
0.87,Washington,1699553974510,1699565533650,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61971496,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61971496&format=geojson,,,,,reviewed,0,12,uw,61971496,",uw61971496,",",uw,",",origin,phase-data,",17.0,0.04268,0.15,238.0,ml,earthquake,M 0.9 - Washington
1.5,"42 km NW of Toyah, Texas",1699553775353,1699555027128,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vzlf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vzlf&format=geojson,,,,,automatic,0,35,tx,2023vzlf,",tx2023vzlf,",",tx,",",origin,phase-data,",16.0,0.1,0.5,78.0,ml(texnet),earthquake,"M 1.5 - 42 km NW of Toyah, Texas"
2.1,"13 km N of Meadow Lakes, Alaska",1699553740698,1699553827943,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023edy0qc5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023edy0qc5&format=geojson,,,,,automatic,0,68,ak,023edy0qc5,",ak023edy0qc5,",",ak,",",origin,phase-data,",,,0.39,,ml,earthquake,"M 2.1 - 13 km N of Meadow Lakes, Alaska"
1.98000002,"9 km ENE of Pāhala, Hawaii",1699553512950,1699553708530,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73642387,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73642387&format=geojson,,,,,automatic,0,60,hv,73642387,",hv73642387,",",hv,",",origin,phase-data,",39.0,,0.109999999,160.0,md,earthquake,"M 2.0 - 9 km ENE of Pāhala, Hawaii"
1.8,"68 km NW of Skwentna, Alaska",1699553337394,1699553452710,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023edxz9m3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023edxz9m3&format=geojson,,,,,automatic,0,50,ak,023edxz9m3,",ak023edxz9m3,",",ak,",",origin,phase-data,",,,1.04,,ml,earthquake,"M 1.8 - 68 km NW of Skwentna, Alaska"
2.1,western Texas,1699553241878,1699555007496,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vzkv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vzkv&format=geojson,,,,,automatic,0,68,tx,2023vzkv,",tx2023vzkv,",",tx,",",origin,phase-data,",16.0,0.0,0.3,42.0,ml(texnet),earthquake,M 2.1 - western Texas
1.55,"7 km NNE of Cooperton, Oklahoma",1699553150329,1699622210650,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023vzku,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023vzku&format=geojson,,,,,reviewed,0,37,ok,2023vzku,",ok2023vzku,",",ok,",",origin,phase-data,",46.0,0.1970613298,0.8,103.0,ml,quarry blast,"M 1.6 Quarry Blast - 7 km NNE of Cooperton, Oklahoma"
0.77,"6 km NW of The Geysers, CA",1699552929640,1699554011569,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960551,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960551&format=geojson,,,,,automatic,0,9,nc,73960551,",nc73960551,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.009154,0.01,75.0,md,earthquake,"M 0.8 - 6 km NW of The Geysers, CA"
1.7,"45 km N of Rampart, Alaska",1699552899163,1699553074047,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023edxxppi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023edxxppi&format=geojson,,,,,automatic,0,44,ak,023edxxppi,",ak023edxxppi,",",ak,",",origin,phase-data,",,,0.83,,ml,earthquake,"M 1.7 - 45 km N of Rampart, Alaska"
5.1,"13 km WNW of San Pablo, Peru",1699552226121,1699553067040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000l9x5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000l9x5&format=geojson,,,,,reviewed,0,400,us,7000l9x5,",us7000l9x5,",",us,",",origin,phase-data,",48.0,4.64,0.58,133.0,mb,earthquake,"M 5.1 - 13 km WNW of San Pablo, Peru"
0.6,"34 km NNW of Sutcliffe, Nevada",1699552202872,1699576879496,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00868710,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00868710&format=geojson,,,,,reviewed,0,6,nn,00868710,",nn00868710,",",nn,",",origin,phase-data,",4.0,0.08,0.164,282.12,ml,earthquake,"M 0.6 - 34 km NNW of Sutcliffe, Nevada"
1.5,"44 km NW of Toyah, Texas",1699552182861,1699555018894,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vzkg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vzkg&format=geojson,,,,,automatic,0,35,tx,2023vzkg,",tx2023vzkg,",",tx,",",origin,phase-data,",15.0,0.0,0.6,61.0,mlv,earthquake,"M 1.5 - 44 km NW of Toyah, Texas"
-0.62,"Fox Islands, Aleutian Islands, Alaska",1699549063730,1699640308070,,https://earthquake.usgs.gov/earthquakes/eventpage/av91121148,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91121148&format=geojson,,,,,reviewed,0,0,av,91121148,",av91121148,",",av,",",origin,phase-data,",4.0,,0.04,208.0,ml,earthquake,"M -0.6 - Fox Islands, Aleutian Islands, Alaska"
1.80999994,"Island of Hawaii, Hawaii",1699548293900,1699548484670,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73642362,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73642362&format=geojson,,,,,automatic,0,50,hv,73642362,",hv73642362,",",hv,",",origin,phase-data,",32.0,,0.140000001,171.0,md,earthquake,"M 1.8 - Island of Hawaii, Hawaii"
0.73,"Puget Sound region, Washington",1699547719680,1699565830330,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61971486,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61971486&format=geojson,,,,,reviewed,0,8,uw,61971486,",uw61971486,",",uw,",",origin,phase-data,",12.0,0.04408,0.13,120.0,ml,earthquake,"M 0.7 - Puget Sound region, Washington"
